Alleles,ChinRhe,IndiRhe,IndoCyn,MaurCyn,Total,Leader only,Upstream only,Both primers sets,Genomically validated,Previous databases,Genomic assemblies
IGHV4-NL_28*01_S8886,0,0,0,2,2,F,F,T,T,F,F
IGHV4-NL_29*01_S1425,3,0,2,0,5,F,F,T,F,F,F
IGHV4-NL_29*01_S1436,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_29*01_S3761,1,3,2,0,6,F,F,T,T,T,F
IGHV4-NL_29*01_S7498,0,0,0,2,2,F,F,T,T,F,F
IGHV4-NL_29*01_S7793,0,0,1,0,1,F,T,F,F,F,F
IGHV4-NL_29*01_S9610,2,0,2,0,4,F,F,T,T,T,F
IGHV4-NL_3*01_S3122,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_3*01_S5200,0,0,2,0,2,F,F,T,F,F,F
IGHV4-NL_30*01_S1240,0,0,0,10,10,F,F,T,F,F,F
IGHV4-NL_31*01_S7693,4,5,2,0,11,F,F,T,F,T,F
IGHV4-NL_31*01_S8320,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_32*01_S0782,0,0,3,0,3,F,F,T,F,F,F
IGHV4-NL_32*01_S1450,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_33*01_S4287,0,0,2,0,2,F,F,T,F,F,F
IGHV4-NL_33*01_S4764,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_33*01_S9199,0,0,0,4,4,F,F,T,F,F,F
IGHV4-NL_33*01_S9333,0,0,0,7,7,F,F,T,T,F,F
IGHV4-NL_33*01_S9588,0,0,2,1,3,F,F,T,F,F,F
IGHV4-NL_35*01_S9510,0,0,2,0,2,F,F,T,F,F,F
IGHV4-NL_36*01_S0869,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_36*01_S0936,1,3,1,0,5,F,F,T,F,F,F
IGHV4-NL_36*01_S1694,0,0,0,6,6,F,F,T,F,F,F
IGHV4-NL_36*01_S3597,0,0,2,0,2,F,F,T,F,F,F
IGHV4-NL_36*01_S4591,0,0,3,0,3,F,F,T,F,F,F
IGHV4-NL_36*01_S5000,2,0,2,0,4,F,F,T,F,T,T
IGHV4-NL_36*01_S5319,3,0,2,0,5,F,F,T,F,F,F
IGHV4-NL_36*01_S5766,0,0,0,2,2,F,F,T,T,F,F
IGHV4-NL_36*01_S5847,6,5,1,0,12,F,F,T,T,T,F
IGHV4-NL_36*01_S5938,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_36*01_S6474,2,4,0,1,7,F,F,T,T,F,F
IGHV4-NL_36*01_S7581,0,0,0,1,1,F,F,T,F,F,F
IGHV4-NL_36*01_S7647,0,0,1,0,1,F,F,T,F,T,F
IGHV4-NL_36*01_S7873,1,0,1,0,2,F,F,T,F,F,F
IGHV4-NL_36*01_S8200,0,7,1,0,8,F,F,T,F,T,F
IGHV4-NL_36*01_S9644,5,1,0,1,7,F,F,T,F,T,F
IGHV4-NL_36*01_S9894,0,0,0,1,1,F,F,T,F,F,F
IGHV4-NL_37*01_S0071,0,0,0,6,6,F,F,T,F,F,F
IGHV4-NL_37*01_S0825,0,0,1,2,3,F,F,T,T,F,F
IGHV4-NL_37*01_S0997,0,0,3,6,9,F,F,T,T,F,F
IGHV4-NL_38*01_S8437,3,4,1,0,8,F,F,T,F,T,T
IGHV4-NL_38*01_S9225,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_39*01_S0397,0,0,2,0,2,F,F,T,F,F,F
IGHV4-NL_4*01_S5211,0,1,1,0,2,F,F,T,F,F,F
IGHV4-NL_4*01_S7226,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_4*01_S8866,1,2,4,0,7,F,F,T,F,F,F
IGHV4-NL_40*01_S9020,0,0,0,5,5,F,F,T,F,F,F
IGHV4-NL_41*01_S4457,0,0,0,5,5,F,F,T,F,F,F
IGHV4-NL_41*01_S6928,0,0,0,1,1,F,T,F,F,F,F
IGHV4-NL_41*01_S9253,0,0,0,5,5,F,F,T,F,F,F
IGHV4-NL_42*01_S1512,0,0,3,0,3,F,F,T,F,F,F
IGHV4-NL_42*01_S2425,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_42*01_S3572,0,2,2,0,4,F,F,T,F,F,F
IGHV4-NL_42*01_S3655,0,0,1,0,1,F,T,F,F,F,F
IGHV4-NL_42*01_S5701,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_42*01_S8528,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_42*01_S8550,0,0,0,10,10,F,F,T,F,F,F
IGHV4-NL_43*01_S1860,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_43*01_S3820,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_5*01_S0908,0,0,0,10,10,F,F,T,F,F,F
IGHV4-NL_5*01_S1559,0,0,0,1,1,F,F,T,F,F,F
IGHV4-NL_5*01_S5158,8,5,2,0,15,F,F,T,T,T,F
IGHV4-NL_5*01_S6337,0,0,0,6,6,F,F,T,F,T,F
IGHV4-NL_5*01_S6960,0,0,0,10,10,F,F,T,T,F,F
IGHV4-NL_5*01_S8913,0,1,1,0,2,F,F,T,T,F,F
IGHV4-NL_5*01_S9199,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_5*01_S9644,0,0,2,0,2,F,F,T,F,F,F
IGHV4-NL_6*01_S1427,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_6*01_S2831,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_6*01_S3002,0,0,0,3,3,F,F,T,F,F,F
IGHV4-NL_6*01_S3486,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_6*01_S4760,0,1,1,0,2,F,F,T,F,F,F
IGHV4-NL_6*01_S6860,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_7*02_S0143,3,0,0,1,4,F,F,T,F,F,F
IGHV4-NL_7*02_S8742,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_8*02_S1704,0,0,1,0,1,F,F,T,T,F,F
IGHV4-NL_9*01_S2406,1,0,1,0,2,F,F,T,F,F,F
IGHV4-NL_9*01_S4804,1,0,1,0,2,F,F,T,F,F,F
IGHV4-NL_9*01_S6608,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_9*01_S7216,0,0,1,0,1,F,F,T,F,F,F
IGHV4-NL_9*02_S2874,0,0,1,0,1,F,F,T,F,F,F
IGHV5-15*01,4,6,2,0,12,F,F,T,F,T,T
IGHV5-15*01_S0175,0,0,0,3,3,F,F,T,F,F,F
IGHV5-15*01_S0203,0,5,3,0,8,F,F,T,F,F,F
IGHV5-15*01_S0250,0,0,1,0,1,F,F,T,F,F,F
IGHV5-15*01_S5299,0,1,1,0,2,F,F,T,F,F,F
IGHV5-15*01_S8661,4,1,0,12,17,F,F,T,F,T,T
IGHV5-15*01_S8767,0,0,3,0,3,F,F,T,F,T,F
IGHV5-15*01_S9061,3,3,1,0,7,F,F,T,F,F,F
IGHV5-157*01_S4351,0,0,0,3,3,F,F,T,F,F,F
IGHV5-157*01_S5362,0,0,0,5,5,F,F,T,F,F,F
IGHV5-157*01_S5960,7,2,6,2,17,F,F,T,F,T,F
IGHV5-157*01_S8626,1,2,2,5,10,F,F,T,F,F,F
IGHV5-157*02_S3096,1,5,0,8,14,F,F,T,F,T,T
IGHV5-NL_1*02_S5699,0,0,0,6,6,T,F,F,F,F,F
IGHV6-1*01,2,1,0,6,9,F,F,T,F,T,T
IGHV6-1*01_S5053,0,0,1,0,1,T,F,F,F,F,F
IGHV6-1*02,9,12,6,3,30,F,F,T,F,T,T
IGHV6-1*02_S6792,0,0,0,6,6,F,F,T,F,F,F
IGHV7-135*01,0,8,3,11,22,F,F,T,F,T,T
IGHV7-135*01_S9086,3,1,0,4,8,F,F,T,F,F,F
IGHV7-86*01,3,10,3,0,16,F,F,T,F,T,T
IGHV7-86*01_S1348,0,0,0,1,1,F,F,T,F,F,F
IGHV7-86*01_S5062,0,0,0,8,8,F,F,T,F,T,T
IGHV7-86*01_S5982,0,0,1,0,1,F,F,T,F,F,F
IGHV7-86*01_S6667,0,0,0,2,2,F,F,T,F,F,F
IGHV7-86*01_S8063,0,0,0,1,1,F,F,T,F,F,F
IGHV7-86*01_S8793,0,0,2,0,2,F,F,T,F,F,F
IGHV7-86*02_S1706,0,0,0,9,9,F,F,T,F,F,F
